Model Outputs
100
,,Maciej:LAbsAnkleAngle,,,Maciej:LAnkleAngles,,,Maciej:LAnkleForce,,,Maciej:LAnkleMoment,,,Maciej:LAnklePower,,,Maciej:LFE,,,,,,,,,Maciej:LFO,,,,,,,,,Maciej:LFootProgressAngles,,,Maciej:LHipAngles,,,Maciej:LHipForce,,,Maciej:LHipMoment,,,Maciej:LHipPower,,,Maciej:LKneeAngles,,,Maciej:LKneeForce,,,Maciej:LKneeMoment,,,Maciej:LKneePower,,,Maciej:LPelvisAngles,,,Maciej:LTI,,,,,,,,,Maciej:LTO,,,,,,,,,Maciej:PEL,,,,,,,,,Maciej:RAbsAnkleAngle,,,Maciej:RAnkleAngles,,,Maciej:RAnkleForce,,,Maciej:RAnkleMoment,,,Maciej:RAnklePower,,,Maciej:RFE,,,,,,,,,Maciej:RFO,,,,,,,,,Maciej:RFootProgressAngles,,,Maciej:RHipAngles,,,Maciej:RHipForce,,,Maciej:RHipMoment,,,Maciej:RHipPower,,,Maciej:RKneeAngles,,,Maciej:RKneeForce,,,Maciej:RKneeMoment,,,Maciej:RKneePower,,,Maciej:RPelvisAngles,,,Maciej:RTI,,,,,,,,,Maciej:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
,,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm
1,0,4.95023,0,0,5.03082,0.793733,-10.2577,,,,,,,,,,-2.6479,7.89844,-4.47504,-1121.76,1091.15,515.399,384.573,384.573,384.573,13.1924,-86.7345,11.3413,-1018.56,1149.79,66.0055,241.594,241.594,241.594,-87.4492,-0.84151,-15.7479,3.02886,0.141949,0.680518,,,,,,,,,,-0.272164,-1.92217,-10.1042,,,,,,,,,,11.0119,-1.9748,4.07468,-0.0723107,7.58652,5.49398,-1178.49,1087.88,88.6379,412.127,412.127,412.127,13.1924,-86.7345,11.3413,-941.126,1171.65,62.556,80.5314,80.5315,80.5314,-2.35936,10.936,-3.87195,-1072.97,1022.93,899.974,168.15,168.15,168.15,4.58665,0,0,4.63465,-1.55094,8.24519,,,,,,,,,,-4.78634,2.53338,10.6014,-1091.45,905.884,524.213,381.516,381.516,381.516,-15.2774,-85.6798,0.365942,-999.381,782.991,66.6781,241.116,241.116,241.116,-86.9863,-9.82183,-9.86789,9.0995,-2.40295,14.2407,,,,,,,,,,8.03056,-3.35773,-28.9265,,,,,,,,,,11.0119,1.9748,-4.07468,-11.171,7.72118,-18.2271,-1164.04,830.204,88.1515,430.094,430.094,430.094,-15.2773,-85.6798,0.365949,-920.308,769.217,62.5151,80.3719,80.3719,80.3719
2,0,4.96231,0,0,5.04431,0.804262,-10.3321,,,,,,,,,,-2.62894,7.93558,-4.52549,-1121.7,1091.02,515.418,384.571,384.571,384.571,13.206,-86.7354,11.3217,-1018.6,1149.79,66.0205,241.594,241.594,241.594,-87.453,-0.863464,-15.7445,2.99644,0.117617,0.751957,,,,,,,,,,-0.294845,-1.91692,-10.0763,,,,,,,,,,11.0186,-1.97857,4.05192,-0.0602976,7.59907,5.41631,-1178.54,1087.88,88.6365,412.161,412.161,412.161,13.206,-86.7354,11.3217,-941.17,1171.64,62.5759,80.5314,80.5315,80.5315,-2.36117,10.943,-3.84876,-1072.63,1022.64,899.962,168.15,168.15,168.15,4.5931,0,0,4.64159,-1.55464,8.27757,,,,,,,,,,-4.75904,2.56571,10.6044,-1091.31,905.753,524.217,381.495,381.495,381.495,-15.2718,-85.6712,0.346305,-999.362,782.982,66.6496,241.116,241.116,241.116,-86.9767,-9.80477,-9.87745,9.06898,-2.38054,14.2206,,,,,,,,,,8.01252,-3.36571,-28.9751,,,,,,,,,,11.0186,1.97857,-4.05192,-11.1577,7.73487,-18.2686,-1164.01,830.22,88.1558,430.088,430.088,430.088,-15.2718,-85.6712,0.34633,-920.292,769.195,62.4734,80.3719,80.3719,80.3719
3,0,4.97515,0,0,5.05857,0.814745,-10.4062,,,,,,,,,,-2.61007,7.97267,-4.57845,-1121.64,1090.89,515.437,384.569,384.569,384.569,13.2198,-86.7364,11.3017,-1018.65,1149.78,66.0357,241.594,241.594,241.594,-87.4569,-0.885895,-15.7409,2.96273,0.0931924,0.820087,,,,,,,,,,-0.316709,-1.91198,-10.0513,,,,,,,,,,11.024,-1.98206,4.03491,-0.0478101,7.61232,5.33889,-1178.58,1087.87,88.6346,412.194,412.194,412.194,13.2197,-86.7364,11.3017,-941.213,1171.62,62.5964,80.5314,80.5315,80.5314,-2.3632,10.9486,-3.83138,-1072.29,1022.34,899.951,168.15,168.15,168.15,4.59963,0,0,4.64856,-1.5587,8.3131,,,,,,,,,,-4.73171,2.59611,10.6021,-1091.16,905.62,524.222,381.473,381.473,381.473,-15.2658,-85.6628,0.326883,-999.342,782.974,66.6213,241.116,241.116,241.116,-86.9672,-9.78758,-9.88659,9.03907,-2.35715,14.2012,,,,,,,,,,7.99562,-3.37449,-29.0212,,,,,,,,,,11.024,1.98206,-4.03491,-11.1446,7.74807,-18.313,-1163.98,830.234,88.1599,430.082,430.082,430.082,-15.2658,-85.6628,0.326839,-920.274,769.174,62.4322,80.3719,80.3719,80.3718
4,0,4.98881,0,0,5.07367,0.825245,-10.4803,,,,,,,,,,-2.59121,8.00974,-4.63421,-1121.58,1090.75,515.454,384.567,384.567,384.567,13.2338,-86.7375,11.2812,-1018.69,1149.77,66.0512,241.594,241.594,241.594,-87.461,-0.90876,-15.7372,2.92768,0.0686181,0.885176,,,,,,,,,,-0.337758,-1.90721,-10.029,,,,,,,,,,11.028,-1.98528,4.02364,-0.0349431,7.6263,5.26129,-1178.63,1087.86,88.6325,412.228,412.228,412.228,13.2338,-86.7375,11.2813,-941.256,1171.61,62.6174,80.5314,80.5315,80.5314,-2.36548,10.9527,-3.81975,-1071.96,1022.04,899.94,168.15,168.15,168.15,4.60608,0,0,4.65555,-1.56307,8.35136,,,,,,,,,,-4.70431,2.62463,10.5947,-1091.02,905.486,524.227,381.452,381.452,381.452,-15.2594,-85.6547,0.307588,-999.319,782.965,66.5933,241.116,241.116,241.116,-86.9579,-9.77027,-9.89537,9.00969,-2.33276,14.1823,,,,,,,,,,7.97984,-3.38407,-29.0645,,,,,,,,,,11.028,1.98528,-4.02364,-11.1316,7.76078,-18.3596,-1163.95,830.247,88.1637,430.076,430.076,430.076,-15.2594,-85.6547,0.307553,-920.255,769.153,62.3914,80.3719,80.3719,80.3719
5,0,5.00323,0,0,5.08954,0.835698,-10.5541,-0.142066,0.0039858,-0.00606716,-17.1748,6.39246e-015,0.475129,0,0,0.000507678,-2.57244,8.04674,-4.69247,-1121.5,1090.61,515.471,384.564,384.564,384.564,13.2481,-86.7388,11.2605,-1018.74,1149.76,66.0671,241.594,241.594,241.594,-87.4653,-0.93207,-15.7335,2.89134,0.0439631,0.946926,-0.210782,-0.0836351,1.5617,55.9907,-17.1127,0.631181,0,0,0.00287088,-0.357956,-1.90271,-10.0096,-0.0781551,0.00239456,0.592983,-2.58102,3.94437,0.502851,0,0,-0.000152991,11.0307,-1.98824,4.01812,-0.0216201,7.64099,5.18405,-1178.68,1087.86,88.6299,412.263,412.262,412.263,13.2481,-86.7388,11.2605,-941.299,1171.59,62.639,80.5314,80.5314,80.5314,-2.36798,10.9553,-3.8139,-1071.63,1021.74,899.928,168.15,168.15,168.15,4.61258,0,0,4.66261,-1.56778,8.39256,-0.139793,-0.0253754,-0.00723125,-16.8699,1.94601e-015,3.03465,0,0,-5.64858e-005,-4.67688,2.65121,10.582,-1090.88,905.352,524.233,381.431,381.431,381.431,-15.2527,-85.6469,0.288493,-999.295,782.956,66.5655,241.116,241.116,241.116,-86.9488,-9.75285,-9.90375,8.98089,-2.3074,14.1641,-0.0913925,-0.122988,1.57284,33.5312,57.0878,0.355897,0,0,-0.00193136,7.96524,-3.3944,-29.1051,-0.0601149,-0.126423,0.581901,1.43307,29.4007,3.28441,0,0,0.000406007,11.0307,1.98824,-4.01812,-11.1188,7.77303,-18.4089,-1163.92,830.258,88.1672,430.072,430.072,430.072,-15.2527,-85.6469,0.288475,-920.233,769.133,62.3512,80.3719,80.3719,80.3719
6,0,5.0184,0,0,5.10621,0.846174,-10.628,-0.142065,0.00404121,-0.0060567,-17.1746,9.39778e-015,0.481826,0,0,0.00053121,-2.55373,8.08375,-4.75356,-1121.43,1090.47,515.487,384.562,384.562,384.562,13.2626,-86.7402,11.2393,-1018.78,1149.75,66.0833,241.594,241.594,241.594,-87.4698,-0.955833,-15.7297,2.85362,0.0192196,1.00572,-0.211811,-0.083264,1.56159,56.2926,-16.9841,0.640414,0,0,0.00303061,-0.377395,-1.89844,-9.99286,-0.078318,0.00249544,0.592963,-2.62575,3.98868,0.509239,0,0,-0.00014658,11.0319,-1.9909,4.01833,-0.00790405,7.65639,5.10658,-1178.73,1087.85,88.627,412.297,412.297,412.297,13.2627,-86.7402,11.2393,-941.343,1171.58,62.6613,80.5314,80.5315,80.5314,-2.37069,10.9565,-3.81383,-1071.31,1021.43,899.916,168.15,168.15,168.15,4.61904,0,0,4.66969,-1.57283,8.43674,-0.139798,-0.0253385,-0.00725348,-16.8706,-4.75453e-015,3.03028,0,0,-7.26223e-005,-4.6494,2.67588,10.5641,-1090.74,905.216,524.239,381.409,381.41,381.409,-15.2455,-85.6393,0.269571,-999.269,782.948,66.5378,241.116,241.116,241.116,-86.9399,-9.73529,-9.91174,8.95264,-2.2811,14.1464,-0.092013,-0.122186,1.57286,33.7023,56.8399,0.368473,0,0,-0.00203279,7.95175,-3.40553,-29.1431,-0.0602023,-0.126343,0.581909,1.4107,29.3666,3.28016,0,0,0.000449816,11.0319,1.9909,-4.01833,-11.1062,7.78479,-18.4608,-1163.88,830.269,88.1704,430.067,430.067,430.067,-15.2455,-85.6393,0.269593,-920.21,769.113,62.3113,80.3719,80.3719,80.3719
7,0,5.03438,0,0,5.12373,0.856634,-10.7018,-0.142064,0.00409761,-0.0060453,-17.1743,-7.04176e-015,0.488648,0,0,0.00055497,-2.53507,8.12072,-4.81731,-1121.35,1090.33,515.502,384.56,384.559,384.559,13.2774,-86.7418,11.2177,-1018.83,1149.74,66.0999,241.594,241.594,241.594,-87.4745,-0.980037,-15.7258,2.81459,-0.00559623,1.06131,-0.212863,-0.0829037,1.56148,56.5952,-16.8567,0.649793,0,0,0.00319267,-0.395961,-1.89442,-9.97887,-0.0784907,0.00260064,0.592942,-2.66934,4.03429,0.51581,0,0,-0.000140065,11.0319,-1.99329,4.0243,0.0062508,7.67254,5.02915,-1178.78,1087.85,88.6238,412.332,412.332,412.332,13.2774,-86.7418,11.2177,-941.386,1171.56,62.6842,80.5314,80.5315,80.5314,-2.37366,10.9562,-3.81956,-1070.99,1021.12,899.904,168.15,168.15,168.15,4.62549,0,0,4.67677,-1.57821,8.48379,-0.139803,-0.0253007,-0.00727384,-16.8711,8.61065e-015,3.02566,0,0,-8.97587e-005,-4.62189,2.6987,10.5411,-1090.6,905.078,524.246,381.388,381.388,381.388,-15.238,-85.6319,0.250784,-999.241,782.939,66.5104,241.116,241.116,241.116,-86.9311,-9.71761,-9.91936,8.9249,-2.25384,14.1294,-0.0925821,-0.12139,1.57288,33.8542,56.5964,0.380281,0,0,-0.00213415,7.93933,-3.41743,-29.1785,-0.0602805,-0.126266,0.581915,1.38889,29.3324,3.27569,0,0,0.000493771,11.0319,1.99329,-4.0243,-11.0937,7.79603,-18.5151,-1163.84,830.278,88.1734,430.063,430.063,430.063,-15.238,-85.6319,0.250781,-920.184,769.094,62.2719,80.3719,80.3719,80.3719
8,0,5.05108,0,0,5.14198,0.86705,-10.7752,-0.142062,0.00415501,-0.00603318,-17.1741,-5.30218e-016,0.495687,0,0,0.0005785,-2.51647,8.15761,-4.8836,-1121.26,1090.18,515.516,384.557,384.557,384.557,13.2924,-86.7435,11.1957,-1018.87,1149.73,66.1167,241.594,241.594,241.594,-87.4794,-1.00465,-15.7217,2.77423,-0.0304669,1.11365,-0.213948,-0.0825534,1.56136,56.9097,-16.7309,0.659536,0,0,0.00335669,-0.413728,-1.89061,-9.96776,-0.0786752,0.00271066,0.592918,-2.71592,4.08074,0.522657,0,0,-0.000133296,11.0305,-1.99538,4.036,0.0208145,7.68936,4.952,-1178.83,1087.84,88.6202,412.367,412.367,412.367,13.2924,-86.7435,11.1957,-941.428,1171.55,62.7075,80.5314,80.5315,80.5315,-2.3768,10.9545,-3.83106,-1070.67,1020.81,899.892,168.15,168.15,168.15,4.63198,0,0,4.68394,-1.58391,8.53363,-0.139808,-0.0252623,-0.00729404,-16.8714,7.32331e-015,3.0213,0,0,-0.000106371,-4.59435,2.71956,10.5129,-1090.46,904.94,524.253,381.367,381.367,381.367,-15.2301,-85.6248,0.232209,-999.212,782.93,66.4832,241.116,241.116,241.116,-86.9226,-9.69982,-9.92658,8.89774,-2.22567,14.113,-0.0931102,-0.120598,1.57291,33.9923,56.3551,0.391341,0,0,-0.00223419,7.92812,-3.43008,-29.211,-0.0603559,-0.126192,0.581922,1.37156,29.2972,3.27149,0,0,0.000537266,11.0305,1.99538,-4.036,-11.0814,7.80686,-18.5719,-1163.81,830.286,88.1762,430.06,430.06,430.06,-15.2301,-85.6248,0.232207,-920.157,769.075,62.233,80.3719,80.3719,80.3719
9,0,5.06858,0,0,5.16104,0.877477,-10.8487,-0.142061,0.00421346,-0.0060202,-17.1738,1.6211e-016,0.502741,0,0,0.000601284,-2.49794,8.19448,-4.95271,-1121.17,1090.03,515.529,384.554,384.554,384.554,13.3077,-86.7454,11.1734,-1018.92,1149.71,66.1338,241.594,241.594,241.594,-87.4845,-1.0297,-15.7177,2.73256,-0.0554049,1.16302,-0.215069,-0.0822089,1.56123,57.2242,-16.6079,0.669363,0,0,0.00352118,-0.430677,-1.88704,-9.95942,-0.0788715,0.00282606,0.592894,-2.76293,4.12858,0.529573,0,0,-0.000126395,11.0277,-1.9972,4.05339,0.0357843,7.70691,4.87476,-1178.88,1087.84,88.6162,412.402,412.402,412.402,13.3077,-86.7454,11.1733,-941.471,1171.53,62.7315,80.5314,80.5314,80.5314,-2.3802,10.9514,-3.84828,-1070.35,1020.49,899.88,168.15,168.15,168.15,4.63837,0,0,4.69107,-1.58997,8.58653,-0.139814,-0.0252237,-0.00732133,-16.8721,-3.81917e-015,3.01663,0,0,-0.000122347,-4.56677,2.73854,10.4796,-1090.32,904.801,524.261,381.346,381.346,381.346,-15.2218,-85.6179,0.21377,-999.18,782.92,66.4561,241.116,241.116,241.116,-86.9141,-9.6819,-9.93343,8.87114,-2.19655,14.0971,-0.0936139,-0.1198,1.57294,34.1286,56.115,0.402208,0,0,-0.00233272,7.91798,-3.44352,-29.2411,-0.0604365,-0.126123,0.581928,1.34878,29.263,3.26702,0,0,0.000579982,11.0277,1.9972,-4.05339,-11.0692,7.81713,-18.6314,-1163.77,830.292,88.1787,430.057,430.057,430.057,-15.2218,-85.6179,0.213805,-920.128,769.056,62.1944,80.3719,80.3719,80.3719
