Model Outputs
100
,,Maciej:LAbsAnkleAngle,,,Maciej:LAnkleAngles,,,Maciej:LAnkleForce,,,Maciej:LAnkleMoment,,,Maciej:LAnklePower,,,Maciej:LFE,,,,,,,,,Maciej:LFO,,,,,,,,,Maciej:LFootProgressAngles,,,Maciej:LHipAngles,,,Maciej:LHipForce,,,Maciej:LHipMoment,,,Maciej:LHipPower,,,Maciej:LKneeAngles,,,Maciej:LKneeForce,,,Maciej:LKneeMoment,,,Maciej:LKneePower,,,Maciej:LPelvisAngles,,,Maciej:LTI,,,,,,,,,Maciej:LTO,,,,,,,,,Maciej:PEL,,,,,,,,,Maciej:RAbsAnkleAngle,,,Maciej:RAnkleAngles,,,Maciej:RAnkleForce,,,Maciej:RAnkleMoment,,,Maciej:RAnklePower,,,Maciej:RFE,,,,,,,,,Maciej:RFO,,,,,,,,,Maciej:RFootProgressAngles,,,Maciej:RHipAngles,,,Maciej:RHipForce,,,Maciej:RHipMoment,,,Maciej:RHipPower,,,Maciej:RKneeAngles,,,Maciej:RKneeForce,,,Maciej:RKneeMoment,,,Maciej:RKneePower,,,Maciej:RPelvisAngles,,,Maciej:RTI,,,,,,,,,Maciej:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
,,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm
1,0,5.22785,0,0,5.23308,-0.97615,2.55788,,,,,,,,,,-5.09125,6.9122,87.4208,-946.664,-1355.11,532.088,386.582,386.582,386.582,74.3528,-62.1929,71.1207,-1013.05,-1240.86,85.8736,239.385,239.385,239.385,-88.6934,-4.12713,-5.91467,2.14964,-1.9045,2.99885,,,,,,,,,,-0.514822,-2.98184,-11.2821,,,,,,,,,,9.78921,-0.60347,-0.631832,-1.48936,9.21076,98.4686,-978.961,-1407.84,104.106,414.027,414.027,414.027,74.3529,-62.1929,71.1207,-1021.27,-1161.51,84.0637,79.7949,79.7949,79.7949,-8.13275,7.2707,90.4417,-853.671,-1301.88,915.923,168.15,168.15,168.15,6.6067,0,0,6.63709,-0.0079111,-5.47372,,,,,,,,,,-3.63659,3.14366,104.885,-764.059,-1327.19,537.869,379.863,379.863,379.863,50.2577,-78.473,63.2568,-659.315,-1260.15,79.882,239.627,239.627,239.627,-86.8765,-6.55458,-17.221,5.70783,-0.300667,14.2186,,,,,,,,,,8.28603,-1.97581,-27.1629,,,,,,,,,,9.78921,0.60347,0.631832,-13.0525,3.75326,77.6739,-726.191,-1416.57,102.153,427.999,427.999,427.999,50.2577,-78.4729,63.2568,-635.668,-1183.97,75.7247,79.8757,79.8758,79.8758
2,0,5.2174,0,0,5.22381,-1.01386,2.83271,,,,,,,,,,-5.08501,6.9409,87.4904,-946.77,-1355.21,532.083,386.63,386.63,386.63,74.34,-62.2345,71.1074,-1013.07,-1240.71,85.8721,239.385,239.385,239.385,-88.7109,-4.10916,-5.8876,2.15425,-1.92423,2.96767,,,,,,,,,,-0.56325,-2.96424,-11.4591,,,,,,,,,,9.80574,-0.607067,-0.672217,-1.44882,9.1929,98.7182,-979.06,-1407.71,104.058,414.04,414.04,414.04,74.3401,-62.2346,71.1074,-1021.25,-1161.35,84.0865,79.7949,79.7949,79.7949,-8.14673,7.28455,90.4815,-853.657,-1301.82,915.945,168.15,168.15,168.15,6.59368,0,0,6.62342,-0.0140773,-5.4191,,,,,,,,,,-3.66534,3.17292,104.881,-764.019,-1327.31,537.902,379.864,379.864,379.864,50.2698,-78.4688,63.2578,-659.305,-1260.12,79.8692,239.627,239.627,239.627,-86.8792,-6.54961,-17.212,5.68879,-0.305029,14.1743,,,,,,,,,,8.23324,-1.98512,-27.2054,,,,,,,,,,9.80574,0.607067,0.672217,-13.0372,3.73634,77.6299,-726.155,-1416.56,102.135,428.022,428.022,428.022,50.2698,-78.4689,63.2578,-635.669,-1183.93,75.7154,79.8758,79.8758,79.8757
3,0,5.20758,0,0,5.21522,-1.05009,3.0967,,,,,,,,,,-5.07957,6.96835,87.5586,-946.875,-1355.31,532.079,386.675,386.675,386.675,74.3283,-62.2755,71.0948,-1013.08,-1240.56,85.8746,239.385,239.385,239.385,-88.7287,-4.09144,-5.86172,2.15917,-1.94254,2.93722,,,,,,,,,,-0.610816,-2.94736,-11.6281,,,,,,,,,,9.82238,-0.610457,-0.711725,-1.40975,9.17467,98.958,-979.155,-1407.59,104.015,414.052,414.052,414.052,74.3283,-62.2755,71.0948,-1021.23,-1161.2,84.1135,79.7949,79.7949,79.7949,-8.16066,7.29858,90.5205,-853.652,-1301.77,915.967,168.15,168.15,168.15,6.58139,0,0,6.6105,-0.019859,-5.36787,,,,,,,,,,-3.69351,3.20076,104.878,-763.984,-1327.42,537.934,379.865,379.865,379.865,50.2816,-78.4655,63.259,-659.295,-1260.09,79.859,239.627,239.627,239.627,-86.8825,-6.54533,-17.2034,5.67115,-0.309927,14.1325,,,,,,,,,,8.18221,-1.9938,-27.2465,,,,,,,,,,9.82238,0.610457,0.711725,-13.0225,3.71969,77.5889,-726.12,-1416.54,102.118,428.044,428.044,428.044,50.2816,-78.4655,63.2589,-635.671,-1183.9,75.7094,79.8757,79.8757,79.8758
4,0,5.19847,0,0,5.20738,-1.08482,3.34964,,,,,,,,,,-5.07493,6.99459,87.6253,-946.979,-1355.41,532.079,386.717,386.717,386.717,74.3177,-62.3158,71.0826,-1013.1,-1240.42,85.881,239.385,239.385,239.385,-88.7467,-4.07399,-5.83706,2.1644,-1.95945,2.90735,,,,,,,,,,-0.657463,-2.9312,-11.7886,,,,,,,,,,9.8391,-0.613655,-0.750356,-1.37221,9.15613,99.188,-979.247,-1407.47,103.974,414.064,414.064,414.064,74.3177,-62.3158,71.0826,-1021.21,-1161.06,84.1447,79.7949,79.7949,79.7949,-8.17456,7.31276,90.5585,-853.653,-1301.72,915.988,168.15,168.15,168.15,6.56979,0,0,6.59835,-0.0252197,-5.32037,,,,,,,,,,-3.72123,3.22728,104.877,-763.954,-1327.53,537.966,379.865,379.865,379.865,50.2931,-78.463,63.2601,-659.285,-1260.07,79.8514,239.627,239.627,239.627,-86.8862,-6.54174,-17.195,5.65482,-0.315353,14.0935,,,,,,,,,,8.13287,-2.00186,-27.2859,,,,,,,,,,9.8391,0.613655,0.750356,-13.0086,3.70336,77.5512,-726.086,-1416.53,102.102,428.066,428.066,428.066,50.2931,-78.463,63.2601,-635.672,-1183.88,75.7066,79.8758,79.8757,79.8758
5,0,5.18998,0,0,5.20023,-1.11806,3.59152,-0.142333,0.0103328,-0.00417243,-17.0488,3.08087e-016,1.32267,0,0,-0.000884019,-5.0711,7.01956,87.6906,-947.083,-1355.51,532.081,386.756,386.756,386.756,74.3082,-62.3554,71.0711,-1013.11,-1240.3,85.8913,239.385,239.385,239.385,-88.765,-4.05683,-5.81365,2.16992,-1.97493,2.87819,-0.221559,0.0324818,1.56612,57.6421,18.8047,1.81711,0,0,9.32819e-005,-0.70325,-2.9158,-11.9409,-0.0670569,0.0554573,0.593856,0.221413,12.3404,1.55164,0,0,-0.000100397,9.85593,-0.616641,-0.788085,-1.33616,9.13726,99.4082,-979.334,-1407.36,103.936,414.076,414.076,414.076,74.3083,-62.3554,71.0711,-1021.19,-1160.93,84.1802,79.7949,79.7949,79.795,-8.18837,7.32711,90.5956,-853.662,-1301.68,916.009,168.15,168.15,168.15,6.55891,0,0,6.58695,-0.0301822,-5.27639,-0.141082,-0.0185143,-0.00778243,-16.9262,7.53685e-015,2.23982,0,0,-0.0004913,-3.74833,3.25233,104.878,-763.928,-1327.65,537.996,379.865,379.865,379.865,50.3044,-78.4612,63.2613,-659.275,-1260.05,79.8462,239.627,239.627,239.627,-86.8904,-6.53883,-17.1868,5.6399,-0.321327,14.057,-0.120881,0.015825,1.57435,47.1549,10.5065,1.17642,0,0,0.00137597,8.08533,-2.00928,-27.3237,-0.106807,-0.0733921,0.584488,-10.4441,20.2431,2.41244,0,0,-0.00118288,9.85593,0.616641,0.788085,-12.9953,3.68735,77.5167,-726.053,-1416.52,102.086,428.088,428.088,428.088,50.3044,-78.4612,63.2614,-635.673,-1183.85,75.7068,79.8757,79.8758,79.8758
6,0,5.18222,0,0,5.19381,-1.14971,3.82177,-0.142314,0.0102935,-0.00405544,-17.0472,9.30506e-016,1.31696,0,0,-0.000830595,-5.0681,7.04327,87.7543,-947.185,-1355.62,532.085,386.791,386.792,386.791,74.3,-62.3942,71.0602,-1013.13,-1240.17,85.9055,239.385,239.385,239.385,-88.7835,-4.04001,-5.79149,2.17576,-1.98904,2.84978,-0.221682,0.0330407,1.56603,57.5406,18.9345,1.81742,0,0,7.93688e-006,-0.74815,-2.90115,-12.0845,-0.0664531,0.0555964,0.593845,0.375035,12.3195,1.54925,0,0,-9.36198e-005,9.87287,-0.619456,-0.824907,-1.30165,9.11805,99.618,-979.418,-1407.26,103.902,414.088,414.088,414.088,74.2999,-62.3942,71.0601,-1021.18,-1160.8,84.22,79.7949,79.7949,79.7948,-8.20222,7.34162,90.6318,-853.679,-1301.65,916.029,168.15,168.15,168.15,6.5487,0,0,6.57626,-0.0347398,-5.23599,-0.141062,-0.0184901,-0.0077492,-16.9187,3.71179e-015,2.2375,0,0,-0.000457294,-3.77483,3.27597,104.881,-763.907,-1327.76,538.027,379.864,379.864,379.864,50.3153,-78.4603,63.2627,-659.265,-1260.03,79.8433,239.627,239.627,239.627,-86.8951,-6.53661,-17.1789,5.62643,-0.327783,14.0233,-0.121407,0.0159368,1.57416,47.1452,10.4884,1.18467,0,0,0.00127657,8.03964,-2.01608,-27.3599,-0.106438,-0.0733328,0.584493,-10.3769,20.2208,2.40978,0,0,-0.0011374,9.87287,0.619456,0.824907,-12.9828,3.67166,77.4854,-726.021,-1416.52,102.072,428.108,428.108,428.108,50.3153,-78.4603,63.2627,-635.673,-1183.83,75.7099,79.8757,79.8758,79.8757
7,0,5.17518,0,0,5.18812,-1.17982,4.04065,-0.142299,0.0102499,-0.00407698,-17.045,-1.27554e-015,1.3095,0,0,-0.00077601,-5.06592,7.06568,87.8163,-947.286,-1355.74,532.091,386.823,386.824,386.823,74.293,-62.4322,71.0496,-1013.14,-1240.06,85.9235,239.385,239.385,239.385,-88.8023,-4.02357,-5.77057,2.18189,-2.00166,2.82213,-0.221919,0.0335357,1.56593,57.55,19.0311,1.81875,0,0,-8.10642e-005,-0.792159,-2.88734,-12.2197,-0.0660073,0.05572,0.593834,0.463784,12.3014,1.54497,0,0,-9.11995e-005,9.88988,-0.62205,-0.860777,-1.26863,9.09858,99.8177,-979.498,-1407.17,103.87,414.1,414.1,414.1,74.293,-62.4322,71.0496,-1021.16,-1160.69,84.2641,79.7949,79.7949,79.7949,-8.21594,7.35631,90.667,-853.703,-1301.62,916.048,168.15,168.15,168.15,6.53911,0,0,6.56622,-0.0389107,-5.19902,-0.141044,-0.0184448,-0.00771929,-16.9098,-2.68795e-015,2.23289,0,0,-0.000424615,-3.80068,3.29808,104.885,-763.891,-1327.87,538.056,379.863,379.863,379.863,50.3259,-78.46,63.2641,-659.256,-1260.02,79.8425,239.627,239.627,239.627,-86.9,-6.53506,-17.1713,5.61445,-0.334771,13.9922,-0.121761,0.0160412,1.57391,47.0556,10.4632,1.19134,0,0,0.00116703,7.99589,-2.02224,-27.3947,-0.106013,-0.0732248,0.584493,-10.3084,20.184,2.40486,0,0,-0.00108777,9.88988,0.62205,0.860777,-12.971,3.65626,77.4571,-725.99,-1416.51,102.059,428.129,428.129,428.129,50.3259,-78.46,63.2641,-635.674,-1183.81,75.7155,79.8758,79.8757,79.8756
8,0,5.16894,0,0,5.18319,-1.20829,4.24756,-0.142258,0.0101882,-0.00391884,-17.038,-6.95746e-015,1.29875,0,0,-0.000720526,-5.06465,7.08677,87.8766,-947.385,-1355.85,532.101,386.852,386.852,386.852,74.2872,-62.4696,71.0395,-1013.15,-1239.95,85.9452,239.385,239.385,239.385,-88.8215,-4.00759,-5.75085,2.18837,-2.01276,2.79532,-0.221961,0.0339592,1.56575,57.3962,19.1137,1.81247,0,0,-0.000171883,-0.835233,-2.87444,-12.3459,-0.0653585,0.0557784,0.593796,0.628195,12.2678,1.53716,0,0,-8.22505e-005,9.90704,-0.624403,-0.895587,-1.23714,9.07885,100.007,-979.574,-1407.08,103.84,414.112,414.112,414.112,74.2872,-62.4696,71.0395,-1021.15,-1160.58,84.3123,79.7949,79.7949,79.7949,-8.22967,7.37119,90.7011,-853.734,-1301.61,916.067,168.15,168.15,168.15,6.53006,0,0,6.5568,-0.042687,-5.16554,-0.141024,-0.0183943,-0.00766704,-16.8995,-9.60117e-015,2.22811,0,0,-0.000393967,-3.82575,3.31855,104.891,-763.879,-1327.98,538.084,379.862,379.862,379.862,50.336,-78.4604,63.2656,-659.246,-1260.01,79.8435,239.627,239.627,239.627,-86.9052,-6.53416,-17.164,5.60416,-0.342312,13.9638,-0.121928,0.0161218,1.5736,46.8809,10.4406,1.19676,0,0,0.00104712,7.95427,-2.0277,-27.4279,-0.105519,-0.0730687,0.584488,-10.227,20.138,2.39977,0,0,-0.00103277,9.90704,0.624403,0.895587,-12.9599,3.64125,77.4319,-725.96,-1416.51,102.046,428.148,428.148,428.148,50.336,-78.4604,63.2656,-635.674,-1183.8,75.7232,79.8757,79.8758,79.8758
9,0,5.16329,0,0,5.1789,-1.23515,4.44263,-0.142226,0.0101266,-0.00389561,-17.0305,3.93192e-015,1.28728,0,0,-0.000665581,-5.06427,7.10646,87.935,-947.483,-1355.97,532.113,386.877,386.877,386.877,74.2827,-62.506,71.0298,-1013.17,-1239.86,85.9702,239.385,239.385,239.385,-88.8409,-3.99208,-5.73226,2.19516,-2.02231,2.76932,-0.222167,0.0342726,1.56559,57.3765,19.1582,1.80864,0,0,-0.000267092,-0.877418,-2.86253,-12.4634,-0.0649099,0.055828,0.593751,0.71793,12.2386,1.52848,0,0,-7.75956e-005,9.9243,-0.626514,-0.929254,-1.20707,9.05887,100.185,-979.647,-1407,103.813,414.125,414.125,414.125,74.2826,-62.5061,71.0297,-1021.14,-1160.48,84.3641,79.7949,79.7948,79.7949,-8.24331,7.38625,90.7341,-853.773,-1301.59,916.085,168.15,168.15,168.15,6.52153,0,0,6.54795,-0.046083,-5.13543,-0.141003,-0.0183328,-0.00760534,-16.888,-3.46771e-015,2.22247,0,0,-0.000364946,-3.84994,3.33727,104.899,-763.873,-1328.08,538.111,379.861,379.861,379.861,50.3455,-78.4613,63.2674,-659.238,-1260,79.846,239.627,239.627,239.627,-86.9105,-6.53391,-17.157,5.5957,-0.350376,13.9383,-0.121986,0.0161263,1.57326,46.6597,10.4275,1.20067,0,0,0.000913832,7.91502,-2.03243,-27.4596,-0.104992,-0.0728934,0.584468,-10.1409,20.0854,2.39383,0,0,-0.000971843,9.9243,0.626514,0.929254,-12.9497,3.62663,77.4097,-725.932,-1416.51,102.035,428.166,428.166,428.166,50.3455,-78.4613,63.2674,-635.675,-1183.79,75.7326,79.8757,79.8757,79.8759
