Model Outputs
100
,,Tom:LAbsAnkleAngle,,,Tom:LAnkleAngles,,,Tom:LAnkleForce,,,Tom:LAnkleMoment,,,Tom:LAnklePower,,,Tom:LFE,,,,,,,,,Tom:LFO,,,,,,,,,Tom:LFootProgressAngles,,,Tom:LHipAngles,,,Tom:LHipForce,,,Tom:LHipMoment,,,Tom:LHipPower,,,Tom:LKneeAngles,,,Tom:LKneeForce,,,Tom:LKneeMoment,,,Tom:LKneePower,,,Tom:LPelvisAngles,,,Tom:LTI,,,,,,,,,Tom:LTO,,,,,,,,,Tom:PEL,,,,,,,,,Tom:RAbsAnkleAngle,,,Tom:RAnkleAngles,,,Tom:RAnkleForce,,,Tom:RAnkleMoment,,,Tom:RAnklePower,,,Tom:RFE,,,,,,,,,Tom:RFO,,,,,,,,,Tom:RFootProgressAngles,,,Tom:RHipAngles,,,Tom:RHipForce,,,Tom:RHipMoment,,,Tom:RHipPower,,,Tom:RKneeAngles,,,Tom:RKneeForce,,,Tom:RKneeMoment,,,Tom:RKneePower,,,Tom:RPelvisAngles,,,Tom:RTI,,,,,,,,,Tom:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
,,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm
1,0,6.79996,0,0,7.06139,-2.39719,15.602,,,,,,,,,,-0.565134,11.112,188.796,-835.735,1196.03,484.181,426.034,426.034,426.034,133.102,26.4387,141.429,-915.28,1141.51,59.9786,235.899,235.899,235.899,-86.291,1.1935,-22.2167,5.84257,-9.08807,-3.25905,,,,,,,,,,10.4259,8.2478,-27.5082,,,,,,,,,,5.76278,-2.96025,-5.62484,-20.583,0.230969,216.862,-767.223,1218.76,85.28,388.779,388.779,388.779,133.102,26.4387,141.429,-987.923,1111.78,55.2696,78.6329,78.6329,78.6328,-9.57101,-4.33396,185.467,-852.244,1342.42,911.312,195.07,195.07,195.07,6.43356,0,0,8.46201,6.40042,-40.4072,,,,,,,,,,-27.108,-6.2011,226.602,-791.025,1493.42,520.532,404.809,404.809,404.809,112.572,-20.5346,119.097,-870.343,1532.7,71.9731,227.184,227.184,227.184,-86.5736,1.10236,-20.5408,-4.88097,-4.26607,42.5422,,,,,,,,,,-9.77955,6.77178,-28.0803,,,,,,,,,,5.76278,2.96025,5.62484,-13.9778,9.91106,199.357,-725.534,1462.52,95.7391,413.921,413.921,413.921,112.572,-20.5346,119.097,-941.129,1559.27,67.7349,75.728,75.728,75.7279
2,0,6.79743,0,0,7.05792,-2.39366,15.5779,,,,,,,,,,-0.583245,11.105,188.737,-835.68,1196.04,484.184,425.976,425.976,425.976,133.106,26.4343,141.425,-915.268,1141.51,59.9876,235.899,235.899,235.899,-86.2942,1.19387,-22.2142,5.84507,-9.10493,-3.2874,,,,,,,,,,10.4042,8.25733,-27.5412,,,,,,,,,,5.78567,-2.97209,-5.53677,-20.5681,0.224769,216.837,-767.207,1218.76,85.2812,388.774,388.774,388.774,133.106,26.4343,141.425,-987.913,1111.79,55.2825,78.6329,78.6328,78.6328,-9.60077,-4.35641,185.378,-852.099,1342.42,911.289,195.07,195.07,195.07,6.41887,0,0,8.43693,6.38898,-40.3623,,,,,,,,,,-27.0464,-6.23587,226.515,-790.862,1493.44,520.518,404.809,404.809,404.809,112.576,-20.5407,119.088,-870.351,1532.71,71.9745,227.184,227.184,227.184,-86.5799,1.10034,-20.5462,-4.83247,-4.26619,42.5356,,,,,,,,,,-9.77457,6.78622,-28.0407,,,,,,,,,,5.78567,2.97209,5.53677,-13.9362,9.89919,199.309,-725.547,1462.52,95.7237,413.897,413.897,413.897,112.576,-20.5408,119.088,-941.136,1559.29,67.7442,75.728,75.728,75.728
3,0,6.79465,0,0,7.05434,-2.39059,15.5569,,,,,,,,,,-0.598935,11.0983,188.684,-835.625,1196.04,484.187,425.918,425.918,425.918,133.11,26.4293,141.421,-915.258,1141.52,59.996,235.899,235.899,235.899,-86.2972,1.19475,-22.2117,5.84868,-9.1208,-3.31561,,,,,,,,,,10.3842,8.26582,-27.5713,,,,,,,,,,5.80766,-2.98361,-5.45481,-20.5533,0.218476,216.814,-767.192,1218.75,85.2822,388.769,388.769,388.769,133.11,26.4294,141.421,-987.904,1111.79,55.2946,78.6329,78.6328,78.6329,-9.62956,-4.37813,185.295,-851.956,1342.41,911.267,195.07,195.07,195.07,6.40519,0,0,8.41368,6.37842,-40.3208,,,,,,,,,,-26.9882,-6.27019,226.434,-790.707,1493.45,520.505,404.809,404.809,404.809,112.579,-20.5462,119.08,-870.359,1532.72,71.976,227.184,227.184,227.184,-86.586,1.09847,-20.5511,-4.7859,-4.26652,42.5297,,,,,,,,,,-9.77009,6.80049,-28.0039,,,,,,,,,,5.80766,2.98361,5.45481,-13.8972,9.88813,199.265,-725.558,1462.51,95.7089,413.875,413.875,413.875,112.579,-20.5462,119.08,-941.141,1559.3,67.7534,75.728,75.7279,75.728
4,0,6.7917,0,0,7.05067,-2.38797,15.539,,,,,,,,,,-0.612172,11.0917,188.638,-835.57,1196.04,484.19,425.862,425.862,425.862,133.114,26.4239,141.418,-915.25,1141.52,60.0038,235.899,235.899,235.899,-86.3001,1.19612,-22.2092,5.85345,-9.1357,-3.34377,,,,,,,,,,10.366,8.27325,-27.5984,,,,,,,,,,5.82876,-2.99482,-5.37895,-20.5387,0.212037,216.795,-767.179,1218.75,85.2831,388.764,388.764,388.764,133.114,26.424,141.418,-987.897,1111.8,55.3061,78.6329,78.6329,78.6329,-9.65742,-4.39908,185.219,-851.814,1342.4,911.245,195.07,195.07,195.07,6.39251,0,0,8.39222,6.36873,-40.2826,,,,,,,,,,-26.9335,-6.30395,226.36,-790.561,1493.46,520.492,404.809,404.809,404.809,112.583,-20.5511,119.072,-870.365,1532.73,71.9777,227.184,227.184,227.184,-86.5919,1.09672,-20.5555,-4.74126,-4.26703,42.5245,,,,,,,,,,-9.76609,6.81452,-27.9697,,,,,,,,,,5.82876,2.99482,5.37895,-13.8607,9.87788,199.224,-725.567,1462.51,95.6949,413.854,413.854,413.854,112.583,-20.5511,119.072,-941.146,1559.32,67.7625,75.728,75.7279,75.728
5,0,6.78859,0,0,7.04689,-2.38579,15.5241,-0.141954,0.000529532,-0.00825088,-16.7379,-1.30558e-014,0.0624976,0,0,-9.00382e-005,-0.622989,11.0852,188.598,-835.515,1196.04,484.193,425.806,425.806,425.806,133.119,26.418,141.415,-915.242,1141.53,60.0111,235.899,235.899,235.899,-86.303,1.19796,-22.2067,5.85935,-9.14957,-3.37184,0.000219747,0.189385,1.56885,6.00197,51.711,-0.892922,0,0,0.0010556,10.3496,8.27958,-27.6224,-0.0992445,0.0360521,0.588973,-6.71842,3.59471,0.204445,0,0,-0.000197726,5.84896,-3.00571,-5.30917,-20.5243,0.205492,216.779,-767.167,1218.75,85.2837,388.759,388.759,388.759,133.119,26.418,141.415,-987.891,1111.81,55.3169,78.6329,78.6328,78.6329,-9.68432,-4.41922,185.148,-851.674,1342.38,911.222,195.07,195.07,195.07,6.38088,0,0,8.37257,6.35988,-40.2478,-0.14206,-0.000297814,-0.00812414,-16.1261,4.21012e-015,-0.000528482,0,0,-0.000296464,-26.8821,-6.33728,226.291,-790.423,1493.47,520.479,404.809,404.809,404.809,112.587,-20.5553,119.065,-870.37,1532.73,71.9795,227.184,227.184,227.184,-86.5977,1.0951,-20.5592,-4.69851,-4.26776,42.5198,-0.330769,0.0590058,1.54275,89.3524,-24.1334,-1.86977,0,0,-0.00593695,-9.76249,6.82837,-27.938,-0.0683935,0.0707932,0.590456,-5.21568,-6.9652,-0.26006,0,0,0.000227097,5.84896,3.00571,5.30917,-13.8267,9.86838,199.188,-725.574,1462.51,95.6815,413.833,413.833,413.833,112.587,-20.5553,119.065,-941.15,1559.33,67.7715,75.728,75.7279,75.7279
6,0,6.78523,0,0,7.043,-2.38403,15.5121,-0.141955,0.000521068,-0.0082455,-16.7381,-1.41019e-014,0.0612826,0,0,-9.68456e-005,-0.631394,11.0789,188.563,-835.46,1196.03,484.197,425.752,425.752,425.752,133.123,26.4116,141.412,-915.236,1141.53,60.0179,235.899,235.899,235.899,-86.3057,1.2003,-22.2043,5.8664,-9.16246,-3.39975,3.85646e-005,0.189314,1.56886,6.04051,51.6749,-0.891344,0,0,0.000947026,10.335,8.28488,-27.6433,-0.0992032,0.0359802,0.588984,-6.70744,3.58449,0.203452,0,0,-0.000174732,5.86825,-3.0163,-5.24551,-20.51,0.198777,216.766,-767.156,1218.74,85.2842,388.754,388.754,388.754,133.123,26.4117,141.412,-987.887,1111.81,55.3271,78.6329,78.6329,78.6329,-9.71027,-4.43867,185.083,-851.536,1342.36,911.2,195.07,195.07,195.07,6.3703,0,0,8.35472,6.3519,-40.2163,-0.142061,-0.000297406,-0.0081122,-16.1264,-6.40262e-015,-0.000691379,0,0,-0.000268963,-26.8341,-6.37007,226.23,-790.294,1493.48,520.466,404.809,404.809,404.809,112.591,-20.5589,119.058,-870.374,1532.74,71.9815,227.184,227.184,227.184,-86.6032,1.0936,-20.5624,-4.6577,-4.2687,42.5159,-0.330666,0.0582487,1.54281,89.2927,-23.9125,-1.86364,0,0,-0.0056319,-9.75938,6.84201,-27.9091,-0.0682734,0.0707154,0.59048,-5.17686,-6.95036,-0.262242,0,0,0.000220879,5.86825,3.0163,5.24551,-13.7952,9.85965,199.155,-725.58,1462.51,95.6688,413.813,413.813,413.813,112.591,-20.559,119.058,-941.152,1559.34,67.7804,75.728,75.7279,75.728
7,0,6.78165,0,0,7.03899,-2.38273,15.5032,-0.141956,0.000511641,-0.00824092,-16.7382,4.65838e-015,0.0606132,0,0,-0.000103889,-0.63738,11.0728,188.535,-835.404,1196.03,484.2,425.699,425.699,425.699,133.128,26.4047,141.41,-915.232,1141.53,60.0242,235.899,235.899,235.899,-86.3084,1.20309,-22.2017,5.87458,-9.17437,-3.4276,-7.83954e-005,0.189229,1.56887,6.06555,51.6359,-0.888852,0,0,0.000840057,10.3221,8.28907,-27.6612,-0.0991593,0.0359096,0.588994,-6.69819,3.5727,0.203035,0,0,-0.000152041,5.88664,-3.02662,-5.18791,-20.496,0.192076,216.756,-767.147,1218.74,85.2845,388.75,388.75,388.75,133.128,26.4047,141.41,-987.884,1111.82,55.3367,78.6329,78.6328,78.6329,-9.73528,-4.45734,185.025,-851.399,1342.34,911.177,195.07,195.07,195.07,6.36072,0,0,8.33866,6.34481,-40.1883,-0.142061,-0.000296362,-0.00809986,-16.1266,4.40303e-015,-0.000928637,0,0,-0.000241857,-26.7896,-6.40233,226.174,-790.174,1493.49,520.453,404.808,404.808,404.808,112.595,-20.5619,119.052,-870.376,1532.75,71.9836,227.184,227.184,227.184,-86.6086,1.0922,-20.5651,-4.61881,-4.26981,42.5128,-0.330587,0.0575342,1.54286,89.2391,-23.7025,-1.85791,0,0,-0.00532646,-9.75675,6.85537,-27.8828,-0.0681622,0.0706443,0.590501,-5.14078,-6.93551,-0.264309,0,0,0.000214142,5.88664,3.02662,5.18791,-13.7662,9.85174,199.126,-725.583,1462.5,95.6568,413.794,413.794,413.794,112.595,-20.5619,119.052,-941.154,1559.35,67.7893,75.728,75.7279,75.7279
8,0,6.77792,0,0,7.03492,-2.38185,15.4972,-0.141956,0.000500842,-0.00823729,-16.7384,1.11049e-014,0.0591754,0,0,-0.000110536,-0.64094,11.0668,188.513,-835.348,1196.02,484.204,425.647,425.647,425.647,133.134,26.3974,141.407,-915.229,1141.53,60.0299,235.899,235.899,235.899,-86.311,1.20637,-22.1993,5.88391,-9.1853,-3.45537,-0.000129401,0.189113,1.56888,6.07554,51.5949,-0.887065,0,0,0.00073419,10.3111,8.29223,-27.6759,-0.0991152,0.0358374,0.589004,-6.68721,3.56145,0.201882,0,0,-0.00012937,5.9041,-3.03665,-5.13635,-20.4822,0.18518,216.748,-767.139,1218.73,85.2847,388.745,388.745,388.745,133.134,26.3973,141.407,-987.883,1111.82,55.3456,78.6329,78.6328,78.6328,-9.75932,-4.47534,184.973,-851.263,1342.31,911.155,195.07,195.07,195.07,6.3522,0,0,8.32441,6.33858,-40.1637,-0.142062,-0.000294429,-0.00808696,-16.1267,-1.28086e-014,-0.00104911,0,0,-0.000214838,-26.7483,-6.43411,226.125,-790.061,1493.5,520.44,404.807,404.807,404.807,112.599,-20.5643,119.046,-870.377,1532.75,71.986,227.184,227.184,227.184,-86.6138,1.09088,-20.5672,-4.58183,-4.27112,42.5103,-0.330548,0.0568611,1.54291,89.1929,-23.5086,-1.85194,0,0,-0.00502457,-9.7545,6.86852,-27.8589,-0.0680619,0.0705804,0.590521,-5.1039,-6.92276,-0.266061,0,0,0.000207552,5.9041,3.03665,5.13635,-13.7398,9.84457,199.1,-725.585,1462.5,95.6454,413.776,413.776,413.776,112.599,-20.5644,119.046,-941.154,1559.36,67.7982,75.728,75.728,75.728
9,0,6.77399,0,0,7.03071,-2.38143,15.4943,-0.141957,0.000488045,-0.00823518,-16.7386,1.41197e-014,0.0578786,0,0,-0.000116831,-0.642153,11.061,188.497,-835.292,1196.01,484.208,425.596,425.596,425.596,133.139,26.3895,141.405,-915.228,1141.53,60.0351,235.899,235.899,235.899,-86.3135,1.21011,-22.1967,5.89432,-9.19526,-3.4829,-0.000106045,0.188957,1.5689,6.07114,51.5414,-0.884919,0,0,0.000629506,10.3018,8.29434,-27.6879,-0.0990725,0.0357602,0.589014,-6.67939,3.54909,0.200906,0,0,-0.000106912,5.92063,-3.0464,-5.09082,-20.4685,0.178224,216.744,-767.133,1218.72,85.2847,388.741,388.741,388.741,133.139,26.3895,141.405,-987.883,1111.82,55.3538,78.6329,78.6329,78.6328,-9.78237,-4.49255,184.926,-851.13,1342.28,911.133,195.07,195.07,195.07,6.34466,0,0,8.31187,6.3332,-40.1424,-0.142062,-0.00029173,-0.0080736,-16.1269,8.54574e-015,-0.00120463,0,0,-0.000188087,-26.7104,-6.4653,226.083,-789.958,1493.51,520.427,404.807,404.807,404.807,112.604,-20.5661,119.04,-870.377,1532.76,71.9884,227.184,227.184,227.184,-86.6189,1.08963,-20.5687,-4.54681,-4.27263,42.5086,-0.330544,0.0562411,1.54295,89.15,-23.3294,-1.84652,0,0,-0.00472447,-9.75273,6.88135,-27.8378,-0.067972,0.0705261,0.590538,-5.07016,-6.91109,-0.267664,0,0,0.00020099,5.92063,3.0464,5.09082,-13.7157,9.83808,199.079,-725.584,1462.5,95.6347,413.759,413.759,413.759,112.603,-20.566,119.04,-941.154,1559.36,67.8069,75.728,75.7279,75.728
