Model Outputs
100
,,Tom:LAbsAnkleAngle,,,Tom:LAnkleAngles,,,Tom:LAnkleForce,,,Tom:LAnkleMoment,,,Tom:LAnklePower,,,Tom:LFE,,,,,,,,,Tom:LFO,,,,,,,,,Tom:LFootProgressAngles,,,Tom:LHipAngles,,,Tom:LHipForce,,,Tom:LHipMoment,,,Tom:LHipPower,,,Tom:LKneeAngles,,,Tom:LKneeForce,,,Tom:LKneeMoment,,,Tom:LKneePower,,,Tom:LPelvisAngles,,,Tom:LTI,,,,,,,,,Tom:LTO,,,,,,,,,Tom:PEL,,,,,,,,,Tom:RAbsAnkleAngle,,,Tom:RAnkleAngles,,,Tom:RAnkleForce,,,Tom:RAnkleMoment,,,Tom:RAnklePower,,,Tom:RFE,,,,,,,,,Tom:RFO,,,,,,,,,Tom:RFootProgressAngles,,,Tom:RHipAngles,,,Tom:RHipForce,,,Tom:RHipMoment,,,Tom:RHipPower,,,Tom:RKneeAngles,,,Tom:RKneeForce,,,Tom:RKneeMoment,,,Tom:RKneePower,,,Tom:RPelvisAngles,,,Tom:RTI,,,,,,,,,Tom:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
,,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,N/kg,N/kg,N/kg,N.mm/kg,N.mm/kg,N.mm/kg,W/kg,W/kg,W/kg,deg,deg,deg,deg,deg,deg,mm,mm,mm,mm,mm,mm,deg,deg,deg,mm,mm,mm,mm,mm,mm
1,0,11.1866,0,0,11.4839,-2.01795,12.9815,,,,,,,,,,3.03752,6.62878,92.4166,-931.226,-1550.2,496.456,425.573,425.573,425.573,80.1166,-54.6251,84.4206,-973.434,-1506.97,75.1726,234.142,234.142,234.142,-85.3461,-0.423993,-19.3943,8.42316,-7.01545,0.0626969,,,,,,,,,,13.3415,9.16186,-28.2846,,,,,,,,,,10.5001,-1.32962,-2.53476,-13.0114,13.9298,121.872,-903.745,-1656.97,102.56,392.433,392.433,392.433,80.1166,-54.625,84.4205,-999.351,-1433.6,69.1995,78.0472,78.0472,78.0471,-9.18257,7.45453,92.3681,-788.859,-1527.71,920.709,195.07,195.07,195.07,5.2505,0,0,6.41279,5.11939,-34.9832,,,,,,,,,,-16.6097,9.38048,135.233,-626.983,-1603.71,534.439,401.219,401.219,401.219,53.6292,-74.0559,62.2261,-576.725,-1526.28,87.5515,226.189,226.189,226.189,-85.4842,-2.01685,-14.9495,-1.59741,-7.8534,42.6998,,,,,,,,,,-8.57346,5.60931,-25.5862,,,,,,,,,,10.5001,1.32962,2.53476,-5.77163,9.89042,109.84,-632.872,-1675.94,113.61,410.023,410.023,410.023,53.6292,-74.0559,62.2261,-557.275,-1453.67,81.8162,75.3962,75.3962,75.3962
2,0,11.2767,0,0,11.5674,-1.99036,12.7885,,,,,,,,,,2.96283,6.59444,92.327,-931.689,-1549.8,496.329,425.467,425.467,425.467,80.1049,-54.6502,84.4414,-973.417,-1507.08,75.1536,234.142,234.142,234.142,-85.3445,-0.393973,-19.3917,8.38918,-6.97998,0.110107,,,,,,,,,,13.3817,9.17952,-28.1769,,,,,,,,,,10.4933,-1.35248,-2.48757,-13.1403,13.9384,121.667,-903.743,-1657.08,102.553,392.484,392.484,392.484,80.1048,-54.6502,84.4414,-999.331,-1433.71,69.1783,78.0472,78.0473,78.0472,-9.19768,7.42674,92.3233,-789.82,-1527.24,920.576,195.07,195.07,195.07,5.29803,0,0,6.4661,5.10611,-34.9227,,,,,,,,,,-16.6805,9.33873,135.188,-627.505,-1603.29,534.318,401.327,401.327,401.327,53.6136,-74.0962,62.249,-576.714,-1526.23,87.5565,226.189,226.189,226.189,-85.5018,-2.06285,-14.9536,-1.59624,-7.89222,42.7011,,,,,,,,,,-8.52583,5.64859,-25.6072,,,,,,,,,,10.4933,1.35248,2.48757,-5.87588,9.88716,109.774,-632.883,-1675.89,113.557,410.012,410.012,410.012,53.6136,-74.0962,62.249,-557.259,-1453.61,81.8436,75.3962,75.3962,75.3962
3,0,11.3526,0,0,11.6371,-1.96509,12.6115,,,,,,,,,,2.88571,6.56696,92.2396,-932.143,-1549.43,496.215,425.369,425.369,425.369,80.0867,-54.6751,84.4686,-973.402,-1507.18,75.1281,234.142,234.142,234.142,-85.3365,-0.35774,-19.3888,8.35153,-6.94587,0.15522,,,,,,,,,,13.4079,9.19863,-28.083,,,,,,,,,,10.4887,-1.37407,-2.44104,-13.2614,13.9414,121.478,-903.744,-1657.18,102.559,392.521,392.521,392.521,80.0866,-54.6751,84.4686,-999.312,-1433.8,69.1425,78.0472,78.0472,78.0472,-9.21356,7.40189,92.279,-790.752,-1526.75,920.456,195.07,195.07,195.07,5.33989,0,0,6.51324,5.09502,-34.8721,,,,,,,,,,-16.7488,9.30117,135.15,-628.018,-1602.88,534.216,401.425,401.425,401.425,53.5928,-74.1335,62.2764,-576.707,-1526.18,87.5663,226.189,226.189,226.189,-85.5133,-2.1103,-14.9574,-1.59407,-7.92973,42.7089,,,,,,,,,,-8.47954,5.68501,-25.6252,,,,,,,,,,10.4887,1.37407,2.44104,-5.97734,9.88554,109.718,-632.898,-1675.84,113.523,410,410,410,53.5929,-74.1335,62.2765,-557.247,-1453.56,81.8681,75.3962,75.3962,75.3962
4,0,11.4144,0,0,11.6931,-1.94208,12.4501,,,,,,,,,,2.80614,6.54636,92.1541,-932.588,-1549.11,496.113,425.277,425.277,425.277,80.0621,-54.6996,84.5019,-973.388,-1507.26,75.0964,234.142,234.142,234.142,-85.3223,-0.315552,-19.3859,8.3102,-6.91314,0.198284,,,,,,,,,,13.4201,9.21918,-28.0028,,,,,,,,,,10.4866,-1.39438,-2.39521,-13.3748,13.9387,121.305,-903.749,-1657.26,102.576,392.543,392.543,392.543,80.0621,-54.6996,84.5018,-999.294,-1433.88,69.0925,78.0472,78.0472,78.0471,-9.23018,7.37997,92.2351,-791.654,-1526.27,920.348,195.07,195.07,195.07,5.37613,0,0,6.55422,5.08611,-34.8313,,,,,,,,,,-16.8145,9.26783,135.12,-628.521,-1602.46,534.132,401.514,401.514,401.514,53.567,-74.1675,62.3084,-576.706,-1526.13,87.5807,226.189,226.189,226.189,-85.5189,-2.1591,-14.9611,-1.59095,-7.96597,42.7235,,,,,,,,,,-8.43471,5.71856,-25.6406,,,,,,,,,,10.4866,1.39438,2.39521,-6.07603,9.88556,109.672,-632.917,-1675.79,113.51,409.988,409.988,409.988,53.567,-74.1675,62.3084,-557.241,-1453.52,81.8896,75.3962,75.3962,75.3962
5,0,11.4625,0,0,11.7358,-1.92134,12.3045,-0.141947,0.00413962,-0.00876251,-16.2924,-7.68829e-015,0.469513,0,0,0.00125764,2.72407,6.53258,92.0705,-933.024,-1548.84,496.025,425.193,425.193,425.193,80.0315,-54.7238,84.5409,-973.375,-1507.32,75.059,234.142,234.142,234.142,-85.3021,-0.267749,-19.3827,8.2652,-6.88171,0.239237,-0.0878582,0.14353,1.5906,48.3096,40.3428,-2.12949,0,0,0.00190596,13.4184,9.24108,-27.9364,-0.164197,0.050268,0.579035,-18.5106,6.70393,0.289141,0,0,-0.000222247,10.4867,-1.41339,-2.35002,-13.4806,13.9306,121.148,-903.756,-1657.32,102.605,392.551,392.551,392.551,80.0315,-54.7238,84.541,-999.277,-1433.94,69.0291,78.0472,78.0472,78.0472,-9.24751,7.36101,92.1917,-792.528,-1525.78,920.254,195.07,195.07,195.07,5.40684,0,0,6.58925,5.07935,-34.8004,-0.142809,-0.00774197,-0.011234,-15.8201,8.95078e-015,0.856373,0,0,0.000759569,-16.8777,9.23866,135.097,-629.015,-1602.06,534.068,401.594,401.594,401.594,53.5362,-74.1983,62.3448,-576.709,-1526.09,87.5998,226.189,226.189,226.189,-85.5186,-2.20914,-14.9646,-1.58682,-8.00093,42.7446,-0.428399,0.0338332,1.54464,118.288,-18.3422,-1.23929,0,0,0.00326422,-8.39121,5.74935,-25.653,-0.0982118,0.0407196,0.598991,-10.2803,-1.76707,0.492952,0,0,0.000957119,10.4867,1.41339,2.35002,-6.172,9.88732,109.635,-632.942,-1675.74,113.516,409.976,409.976,409.976,53.5362,-74.1983,62.3448,-557.24,-1453.47,81.9084,75.3962,75.3963,75.3962
6,0,11.4972,0,0,11.7654,-1.90283,12.1743,-0.141988,0.00405096,-0.00903132,-16.342,-4.48689e-015,0.459005,0,0,0.000886862,2.63943,6.52568,91.9886,-933.45,-1548.6,495.949,425.117,425.117,425.117,79.9953,-54.7476,84.5852,-973.363,-1507.37,75.0164,234.142,234.142,234.141,-85.2764,-0.214732,-19.3793,8.21642,-6.85156,0.278492,-0.0900314,0.14154,1.59019,49.1434,39.5652,-2.14131,0,0,0.0024069,13.4026,9.26431,-27.8839,-0.165382,0.0496491,0.578506,-18.7863,6.63356,0.278667,0,0,-0.000677457,10.4892,-1.4311,-2.30554,-13.5786,13.917,121.006,-903.767,-1657.37,102.645,392.545,392.545,392.544,79.9953,-54.7476,84.5853,-999.261,-1434,68.9534,78.0472,78.0472,78.0472,-9.26552,7.34496,92.1488,-793.373,-1525.29,920.172,195.07,195.07,195.07,5.43223,0,0,6.61856,5.07475,-34.7793,-0.142772,-0.00786593,-0.0113648,-15.8345,-2.24027e-015,0.87594,0,0,0.000628798,-16.9383,9.21362,135.081,-629.498,-1601.65,534.021,401.664,401.664,401.664,53.5007,-74.226,62.3852,-576.717,-1526.05,87.6234,226.189,226.189,226.189,-85.5125,-2.26024,-14.9679,-1.58173,-8.03464,42.7721,-0.429451,0.0328043,1.54376,118.774,-18.103,-1.24211,0,0,0.00298321,-8.34913,5.77748,-25.6625,-0.0990299,0.0403125,0.598593,-10.4904,-1.70977,0.517444,0,0,0.000925663,10.4892,1.4311,2.30554,-6.26518,9.89087,109.608,-632.971,-1675.69,113.541,409.963,409.963,409.963,53.5007,-74.2261,62.3852,-557.244,-1453.43,81.9245,75.3962,75.3962,75.3963
7,0,11.5192,0,0,11.7829,-1.88644,12.059,-0.142052,0.00393648,-0.009294,-16.4072,1.63361e-016,0.446673,0,0,0.000540438,2.55223,6.52561,91.9082,-933.867,-1548.41,495.886,425.048,425.048,425.048,79.9541,-54.7713,84.6342,-973.352,-1507.41,74.9697,234.142,234.142,234.142,-85.2459,-0.157059,-19.3756,8.16398,-6.82267,0.316181,-0.0926019,0.139473,1.58955,50.0701,38.7529,-2.15581,0,0,0.00292155,13.3729,9.2888,-27.8447,-0.166585,0.0490398,0.577873,-19.0593,6.56633,0.26679,0,0,-0.00114037,10.4941,-1.4475,-2.2618,-13.6692,13.8982,120.879,-903.78,-1657.4,102.694,392.525,392.525,392.525,79.9541,-54.7713,84.6342,-999.245,-1434.04,68.8675,78.0472,78.0472,78.0473,-9.28424,7.33189,92.1064,-794.189,-1524.79,920.104,195.07,195.07,195.07,5.45274,0,0,6.64269,5.0723,-34.7681,-0.142698,-0.0079941,-0.0113765,-15.8509,-6.7335e-015,0.898171,0,0,0.000510341,-16.9965,9.19262,135.071,-629.972,-1601.25,533.993,401.726,401.726,401.726,53.4607,-74.2506,62.4293,-576.73,-1526.01,87.6517,226.189,226.189,226.189,-85.5011,-2.31212,-14.9712,-1.57559,-8.06712,42.8057,-0.430191,0.0316653,1.54248,119.078,-17.7212,-1.22787,0,0,0.00269581,-8.30842,5.80316,-25.669,-0.0995453,0.0398107,0.598004,-10.6175,-1.61988,0.543395,0,0,0.00088844,10.4941,1.4475,2.2618,-6.35558,9.89639,109.591,-633.005,-1675.64,113.585,409.95,409.95,409.95,53.4607,-74.2506,62.4293,-557.253,-1453.4,81.9383,75.3962,75.3962,75.3962
8,0,11.5299,0,0,11.7893,-1.87205,11.9576,-0.142098,0.00388852,-0.00965565,-16.4809,7.7101e-015,0.444804,0,0,0.000228544,2.46237,6.53229,91.8286,-934.275,-1548.26,495.834,424.987,424.987,424.987,79.9088,-54.7952,84.6872,-973.342,-1507.44,74.9202,234.142,234.142,234.142,-85.2116,-0.0953822,-19.3717,8.10788,-6.79492,0.352969,-0.095465,0.137362,1.58861,51.1069,37.9473,-2.17404,0,0,0.00344387,13.3293,9.31457,-27.8187,-0.167802,0.048512,0.577084,-19.3607,6.54382,0.265555,0,0,-0.00161163,10.5013,-1.46254,-2.21885,-13.7523,13.8742,120.767,-903.795,-1657.41,102.752,392.493,392.493,392.493,79.9088,-54.7951,84.6871,-999.23,-1434.06,68.7739,78.0472,78.0472,78.0471,-9.30369,7.32185,92.0645,-794.976,-1524.29,920.047,195.07,195.07,195.07,5.46888,0,0,6.66222,5.07191,-34.7664,-0.142588,-0.00814199,-0.0114512,-15.8685,-2.05233e-015,0.925025,0,0,0.000407942,-17.0521,9.17545,135.068,-630.436,-1600.85,533.982,401.779,401.779,401.779,53.4167,-74.2723,62.4765,-576.749,-1525.98,87.6843,226.189,226.189,226.189,-85.4847,-2.36447,-14.9745,-1.5683,-8.09844,42.8448,-0.430982,0.0305567,1.54082,119.417,-17.3545,-1.21389,0,0,0.00239631,-8.26894,5.82663,-25.6722,-0.100134,0.0393041,0.597217,-10.7671,-1.53427,0.572878,0,0,0.000856383,10.5013,1.46254,2.21885,-6.44322,9.90394,109.583,-633.045,-1675.6,113.646,409.938,409.938,409.938,53.4167,-74.2723,62.4765,-557.267,-1453.37,81.9503,75.3962,75.3962,75.3962
9,0,11.5303,0,0,11.7858,-1.85952,11.8693,-0.142152,0.00383196,-0.0100916,-16.5622,-1.14987e-017,0.445122,0,0,-4.50175e-005,2.3698,6.54566,91.7495,-934.672,-1548.16,495.793,424.935,424.935,424.935,79.8605,-54.8195,84.743,-973.332,-1507.45,74.8696,234.142,234.142,234.141,-85.1746,-0.0305292,-19.3675,8.04818,-6.7682,0.389454,-0.0984083,0.135225,1.58742,52.13,37.1192,-2.19445,0,0,0.00396092,13.2721,9.34152,-27.8055,-0.168941,0.0479607,0.576224,-19.6804,6.53293,0.266784,0,0,-0.00208773,10.5108,-1.4762,-2.17679,-13.8281,13.8451,120.667,-903.813,-1657.42,102.816,392.45,392.45,392.45,79.8605,-54.8195,84.7429,-999.215,-1434.08,68.6758,78.0472,78.0472,78.0472,-9.32379,7.31485,92.0234,-795.733,-1523.79,920.003,195.07,195.07,195.07,5.48122,0,0,6.67786,5.07351,-34.7737,-0.142456,-0.00833983,-0.0115681,-15.8876,-6.52454e-015,0.959004,0,0,0.000323072,-17.1052,9.16185,135.07,-630.889,-1600.45,533.987,401.824,401.824,401.824,53.3693,-74.2912,62.526,-576.773,-1525.95,87.7209,226.189,226.189,226.189,-85.4639,-2.41688,-14.9781,-1.55978,-8.12864,42.8889,-0.431868,0.0294327,1.53885,119.825,-16.9502,-1.19474,0,0,0.00209058,-8.23066,5.84824,-25.6723,-0.100803,0.0387128,0.596323,-10.9372,-1.42301,0.608502,0,0,0.00082984,10.5108,1.4762,2.17679,-6.5281,9.91366,109.584,-633.091,-1675.55,113.722,409.927,409.927,409.927,53.3693,-74.2911,62.526,-557.287,-1453.34,81.9606,75.3962,75.3962,75.3962
